"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1996479610872275186","Thu Dec 04 07:20:06 +0000 2025","3","Manifesting eaJ x Rizky Febian - Alamak at Spotify Wrapped 2025 Rcti https://t.co/vKEq4gApl3","1996479610872275186","https://pbs.twimg.com/media/G7TrniOaIAI6ax8.jpg","","in","","0","0","0","https://x.com/undefined/status/1996479610872275186","3230473074",
"1996188684283171167","Wed Dec 03 12:12:44 +0000 2025","0","@ROWOON96sir Rizky Febian - Alamak soalnya sehari hari rasanya jatuh cinta terus sama @NAMPING01sir ","1996190865774248075","","ROWOON96sir","in","","0","0","0","https://x.com/undefined/status/1996190865774248075","3247998239",
"1996138901787021737","Wed Dec 03 08:46:15 +0000 2025","0","#2 Alamak by Rizky Febian Adrian Khalif with Faliza &amp; Khaira #Top20Lokal","1996138901787021737","","","in","","0","0","0","https://x.com/undefined/status/1996138901787021737","122141146",
"1995830074625720735","Tue Dec 02 23:34:39 +0000 2025","2","@crmnssta Rizky febian - alamak","1996000087806443937","","crmnssta","in","","0","0","0","https://x.com/undefined/status/1996000087806443937","120072361",
"1995830074625720735","Tue Dec 02 22:43:27 +0000 2025","0","@crmnssta @KevinSepTiaN96 Lagu Rizky febian ka judulnya alamak kalau ada sembilan nyawa mau sama mu saja semuanya ","1995987201214370021","","crmnssta","in","","0","0","0","https://x.com/undefined/status/1995987201214370021","1792828482575351808",
"1995372305497702657","Tue Dec 02 16:03:23 +0000 2025","0","@munvess Akhir-akhir ini lagi dengerin alamak by Rizky Febian itu lagu jatuh cinta","1995886524416885248","","munvess","in","","0","0","0","https://x.com/undefined/status/1995886524416885248","1986343106464391169",
"1995824752150413457","Tue Dec 02 11:57:56 +0000 2025","0","Ini dia the champ di YAMAHA INDO 19. Ternyata masih ada Alamak dari Rizky Febian dan Adrian Khalif Acara ini di dukung oleh YAMAHA. https://t.co/2UPxOgA9z2","1995824752150413457","https://pbs.twimg.com/media/G7KYB9vbgAAXG-D.jpg","","in","","0","0","0","https://x.com/undefined/status/1995824752150413457","1241969261934866432",
"1995763122569621797","Tue Dec 02 07:53:02 +0000 2025","0","list lagu yang wajib di nikahan gue 1. last forever - lany 2. alamak - rizky febian 3. you! - lany","1995763122569621797","","","in","","0","0","0","https://x.com/undefined/status/1995763122569621797","1560211008471175168",
"1995704478310563875","Tue Dec 02 04:00:00 +0000 2025","0"," 1. Sedia Aku Sebelum Hujan - @idgilove ⬇️ 2. Alamak - @rizky_febian ft. @mrmenawan ⬆️ 3. Kacamata - @afgan___ ⬇️ 4. Elu-elukan - @juicyluicyband #TanggaLagu #LaguJuara E49/2025 https://t.co/Dxqom5g17f","1995704478310563875","","","in","","0","0","0","https://x.com/undefined/status/1995704478310563875","4858988537",
"1995529501028266184","Mon Dec 01 16:24:42 +0000 2025","0","Pusing dengerin lagu Alamak by Rizky Febian pake tws gerak mulu suaranya ke kanan ke kiri awalnya asik yaa lama-lama pusing dengerinnya.. : https://t.co/dGEdqjai3p","1995529501028266184","https://pbs.twimg.com/media/G7GLgXZb0AATvwo.jpg","","in","","0","0","0","https://x.com/undefined/status/1995529501028266184","1853001450009530368",
"1995348312279687290","Mon Dec 01 12:40:05 +0000 2025","0","@keonhosundaeee alamak rizky febian chil?","1995472974875365871","","keonhosundaeee","in","","0","1","0","https://x.com/undefined/status/1995472974875365871","1888526991978381312",
"1995420748832477359","Mon Dec 01 09:12:34 +0000 2025","0","[Fancam] @rizky_febian - Alamak at Now Playing Festival Tritan Point Bandung 30112025 https://t.co/H1q3DrggAH","1995420748832477359","https://pbs.twimg.com/amplify_video_thumb/1995420166021337088/img/EmE1I0_BhJcQ5Ab1.jpg","","en","","0","0","0","https://x.com/undefined/status/1995420748832477359","1241165524634963968",
"1995117186910691376","Sun Nov 30 13:37:24 +0000 2025","0","@taesanbnd Nih gw kasih hapalin.. https://t.co/1WdONa618W","1995125009790972377","","taesanbnd","in","","0","1","0","https://x.com/undefined/status/1995125009790972377","940134161217495040",
"1995103829847843190","Sun Nov 30 12:13:14 +0000 2025","0","@zheyuanr 3DAN_Rizky Febian_Alamak #CETESTRUGGLE2025","1995103829847843190","","zheyuanr","in","","0","0","0","https://x.com/undefined/status/1995103829847843190","899664784051773440",
"1995103817151750323","Sun Nov 30 12:13:11 +0000 2025","0","2COOL_Rizky febian&amp;adrian khalif_ Alamak #CETESTRUGGLE2025","1995103817151750323","","","in","","0","0","0","https://x.com/undefined/status/1995103817151750323","1441247912877445129",
"1995103646741418025","Sun Nov 30 12:12:31 +0000 2025","0","@FORTUNE_Rizky Febian &amp; Adrian Khalif_Alamak #CETESTRUGGLE2025","1995103646741418025","","","in","","0","0","0","https://x.com/undefined/status/1995103646741418025","846387798860976128",
"1994657750065058083","Sat Nov 29 06:40:41 +0000 2025","0","Alamak - Rizky Febian &amp; Adrian Khalif / GRXXX Cover https://t.co/Jp2RcnF9ud lewat YouTube","1994657750065058083","","","in","","0","1","0","https://x.com/undefined/status/1994657750065058083","1205426163918589952",
