Inggris,Indonesia
manifesting,berharap
with,dengan
by,oleh
amp,dan
wrapped,rangkuman akhir tahun
champ,juara
supported,didukung
the,itu
list,daftar
last,terakhir
forever,selamanya
you,kamu
featuring,kolaborasi
chil,santai
fancam,kamera penggemar
at,di
now ,sekarang
playing,dimainkan
point,poin
col,keren
cover,membawakan
grx,di
star,penyanyi
boyz,pria
ful,penuh
ily,aku cinta kamu
text,komen
playnow,dinyanyikan
say,ucapkan
my,saya
ft,kolaborasi
name,namaku
i,aku
love,cinta
colaboration,kolaborasi
of,dari
year,tahun
stres,tegang
cover,dibawakan
so,sangat
god,bagus
had,punya
to,untuk 
make ,membuat
one,satu
myself,diriku
here,disini
fav,suka
part,bagian
aranged,aransemen
yours,milikku
truly,benar benar
eve,kapanpun
ver,versi
pls,mohon
someone,seseorang
mixing,menggabungkan
instrument,instrumen
indonesian,indonesia
line,jajaran
up,atas
artists,artis
somethinc,sesuatu
game,permainan
direplay,diulang
instead,justru
and,dan
has,mempunyai
briliant,kemampuan
song,menulis
writing,lagu
works,benar
realy,bekerja
we,kami
not,tidak
done,selesai
yet,segera
but,tapi
version,versi
japanese,jepang
wib,keren
lyric,lirik
oficial,resmi
tour,keliling
an,sebuah
open,membuka
dor,pintu
as,setiap
time,waktu
goes,pergi
overdrive,kecepatan
path,jalur
on,diatas
repeat,berulang ulang 
lucky,beruntung
be,menjadi
loved,kecintaan
enough,cukup
heroes,pahlawan
chanel,saluran
pearlies,mutiara
their,mereka
instastories,cerita instagram
comented,komen
boyz,kelompok
blaze,api
singing,menyanyikan
idol,idola
cup,secangkir
listening,mendengarkan
songs,musik
again,lagi
know,mengerti
xdinary,
today,hari ini
everything,segalanya
u,kamu
are,ada
round,sesi
codex,kuno
locomotor,gerakan
about,tentang
dres,gaun
wish,harapan
list,susunan
scared,takut
in,di
sweat,manis
go,pergi
do,bisa
like,seperti
al,semua
trap,perangkap
we,kami
belong,milik
together,bersama
wildflower,bunga liar
makes,membuat
fate,nasib
chart,bagan
everyone,setiap orang
aware,waspada
i,saya
a,sebuah
lot ,banyak
working,bekerja
acepting,menerima
that,itu
shrinking,penyusutan
when,ketika
they,mereka
cute,lucu
pics,gambar
things,mengenai
want,keinginan
me,saya
if,apabila
were,kita
more,sedang
patient,sabar
congrats,selamat
usualy,biasanya
listen ,mendenhgar
slow,lambat
songs,musik
ned,butuh
something,sesuatu
soft,lembut
for,untuk
movies,menonton film
criminal,pidana
justice,keadilan
hiden,tersembunyi
or,atau
basicaly,seperti biasa
soundtrack,rekaman musik
she,dia
sang,bernyanyi
along,sepanjang
was,adalah
cant,tidak bisa
pict,gambar
funny,lucu
moment,momen
was,ketika
ask,bertanya
arent,tidak 
u,kamu
not,tidak
mention,menyebut
subscribe,berlangganan
folow,ikuti
thank,terimakasih
for,untuk
suporting,dukungan
meet,bertemu
gret,menyapa
sister,saudara
reunion,reuni
treasure,harta karun
falling,jatuh
help,menahan diri
dualcam,dua kaamera
through,melalui
dark ,gelap
one,satu
direction,arah
boyfriend,kekasih
her,dia
fits,cocok
perfectly,sempuna
baby,bayi
hot,panas
sauce,saus
midle,tengah
wish,berharsp
be,jadi
heart,hati
messy,berantakan
diferentiate,membedakan
cam,kamera
focus,fokus
else,kalau tidak
one,satu
backsound,suara latar
boom,meledak
sit,duduk
he,dia
infront,didepan
stop,berhenti
day,hari
this,ini
magic,sihir
prety,cantik
woman,wanita
chemistry,perasaan
kinda,agak
yesterday,kemarin
repeatedly,berulang kali
while,ketika
atending,hadir
realize,menyadari
will,akan
chinese,china
cofe,kopi
enjoy,selamat menikmati
minus,kurang
bad,buruk
voice,suara latar
credit,kredit
vclip,klip video
take,mengambil
feat,kolaborasi
fyp,untuk halaman anda
request,meminta
morning,pagi
show,penampilan
from,dari
please,mohon
up,ke atas
babymonster,bayi monster
prayer,doa
airplane,pesawat
rampage,marah
where,dimana
husband,suami
ive,saya sudah
record,rekaman
adicting,membuat ketagihan
camera,kamera
locked,terkunci
location,lokasi
cringe,jijik
nobody,tidak ada
note,catatan
couple,pasangan
catchy,menarik
scene,pemandangan
mix,campur
what,apa
fels,berasa
honestly,jujur
same,sama
key,rahasia
ationship,hubungan
playlist,daftar putar
scrol,gulir
event,acara
international,internasional
acoustic,akustik
adicted,ketagihan
heaven,surga
colabs,kolaborasi
play,mainkan
damn,brengsek
betwen,diantara
these,ini
stil,tetap
wave,gelombang
earth,bumi
bad,buruk
lost,kehilangan
brain,otak
earworm,cacing telinga
describe,deskripsi
perfect ,sempurna
curent,saat ini
felings,perasaan
just,hanya
tried,lelah
produce,produksi
arangement,pengaturan
dope,bagus sekali
have,memiliki
wel the rhyme flow,baiklah sajaknya mengalir,
new,baru
again,lagi
stuck,terjebak
eyes,mata 
closed,tertutup
ear,telinga
finaly,akhirnya
empty,kosong
winer,pemenang
pined drink,minuman
shy,malu
every,setiap
sumertime,musim panas
jump,lompat
no,tidak
only,hanya
hope,berharap
sway,bergoyang
repeat,mengulang
low,rendah
budget,anggaran
because,karena
aford,memberi
other,lain
used,digunakan
now,sekarang
stay tuned,pantau terus
reply,mengulang
pict,gambar
