tidak baku,baku
x,dan
wraped,wrapped
eaj,jae park
ka,kak
e, 
soalnya,karena
lagi,ini
mulu,terus
ya, 
dengerinya,dengarkan
sama, 
asik,senang
tritan, 
poin,nilai
nih,ini
jadinya,jadi
gw,saya
kasih,beri
hapalin,hafalkan
atau, 
am, 
bareng,bersama
namaku,nama
sih, 
kalo, kalau
si, 
aku, saya
asbun,asal bunyi
e, 
sama,dan
pak,bapak
seonghyoen, 
keonho, 
juhon, 
kek, seperti
aja,saja
gitu,begitu
p, 
the, 
lg,lagi
duh,aduh
mal,mall
tbtb,tiba tiba
ad,ada
keinget,teringat
gua,saya
bnrn,serius
gaboleh,tidak boleh
bgt,banget
kelar,selesai
punya,memiliki
untuk make satu diriku disini,ciri khas
aku,saya
hbs,setelah
muter,memutar
wqwq, 
yg,yang
denger,mendengarkan
jd,menjadi
di tingal,ditinggal
bae suzy sana han kyung aiki kyoka,suzy sana han kyung
wkwk, 
pdhl,padahal
udah,sudah
mantanya,mantan
gua,saya
kayak,seperti
gada,tidak ada
ru,baru
yg,yang
wk ,apabila
diselengarakan,diselenggarakan
atas,besar
ugha,juga
kayaknya,sepertinya
an, 
ig,instagram
h,di
pake,menggunakan
tidak na, 
malah,justru
wk, 
eh, 
tp,tetapi
sma,sama
enaknyo,enak
min,minimal
sesuatu, 
ok, 
ya, 
yg, yang
lagunya,lagu
kayak,seperti
ga,tidak
tambahin,tambahkan
aje deh,saja
tdnya,tadinya
mulu,terus
ga,tidak
jebewan,asli
krn,karena
lagu it,lagu itu
masi,masih
mabok,mabuk
lom,belum
tau,mengerti
gasih,iya tidak
lu,kamu
gt,gitu
ngidam,ingin
artms,nonton
angel,video
req,ingin
adr via,adrian khalif
buk,ibu
ngikutin,mengikuti
bgt,banget
diatas atau am,selalu
raye,daya
is,yang
dimana,suami
mamam,menggunakan
s, 
titled,lirik
sung,menyanyikan
ranbi,menikah
ndkaoksjdj,aduh
tu,itu
bising,ramai
electrizen, 
cangih,canggih
tingal,tinggal
kyu,itu
cray, 
tersebut, 
whatsap,whatsapp
cangkemanku,favoritku
tiap,setiap
pas,pada saat
kismin,kurang mampu
jvke ini is apa,jvke ini adalah
bazi,lama
saa f l y,saya suka
berharsp rel,berharap
twice t twice,twice
rel hubungan,juga
kuksh,keren
laginya,lagunya
xl lany,xxl lany
sebuah clan,sebuat
ketagihan narly,ketagihan
brengsek,gila
ranga,rangga
rent fre,melekat
otaku,otakku
chentyl,centil
kl,apabila
eneg,bosen
j hanya itu way kamu ada,lagu
e,nya
pemenang o,pemenang
itzy g,itzy
j lompat,jump
cxm,sangat
dr,dari
trs,terus
w,saya
nga,tidak
bojoku,istriku
lg,lagi
meanwhile,sedangkan
bursting,mual
rekwes,meminta
nhu,meminta
mjb,indah
chorus campur juga,itu
hrusna,seharusnya
playijg,memutar
silet membuka ke atas,silet open up
wn,wow
awoqawoq,saya
sampe,hingga
skrg,saat ini
kami re,kami
dibawakan tapi,dibawakan versi
tidak selesai,tidak mengerti
via,via youtube
iyahaha,benar
ngakak,tertawa
pas bagian,pada saat bagian
alamak sepertinya,alamak seperti
rehat yak,istirahat
sperti,seperti
eh, 
elu elukan e,elu elukan
memutarkan,memutar
rom, 
refnya,reffnya
aja,saja
buatku,membuatku
alamak dengan,alamak
khemjira, 
indo,indonesia
nyanyinya,nyanyi
yg,yang
gue,saya
nangi,nangis
buset,apa
bgm,bagaimana
cinta is an membuka pintu,love is an open door
kelompok kelompok,band band
kenan te, 
gw,saya
bgm,bagaimana
tdnya,sebelumnya
deh, 
gue,aku
lany, 
jln,jalan
pcd,sedih
ru,baru
nan, 
re,kira
jkt,jakarta
elu,kamu
single,sendiri
j, 
tws, 
bjir, 
l, 
via,melalui
lah,kenapa
ting,bunyi
met, 
asa,harapan
ku,aku
nik, 
ayu,cantik
horeg,sound
kak,kakak
can,bisa
kak,kakak
wrapped,bungkus
