tidak baku,baku
mv,musik video
yuk,ayo
ku,aku
tak,tidak
tuh,itu
nya,dimana
cuy,teman
kalo,kalau
gue,aku
vc,video telepon
duo,dua
quat , 
insyaallah,semoga
buget,biaya
boroboro,mentang
alamat,alamak
diulang2,diulang
i ',aku
don ' t,tidak
privilage,ketenaran
blantika,belantika
rp, 
x,dan 
ang,yang
bakit,baik
ganda, 
ng, 
kanta, 
niyo, 
grabe, 
kayo, 
both,untuk
40jt,40juta
smmu,semua
tahu,tahun
muak,jenuh
lawa,sama
sw,status
inijadi,jadi
¹bulan,sebulan
nih,ini
lagubaru,lagu baru
sih,si
girlscape,kelompok
ngaak,tidak
ost,lagu
egila,gila
chair, 
kursiyun, 
gyus,teman
is,isi
ig,instagram
reels,video
easy,mudah
listening,didengar
quot,pada
beuuh,bagus
vpebp,adrian
mlebu,masuk
lo,kamu
gua,aku
karenaa,karena
ahk,aku
nyauntung,untung
ahahhaa, 
bravi, 
canzone, 
eccellente, 
che, 
tidak baku, 
fa, 
sognare, 
voci, 
dolcissime, 
teh,kakak
bejir,tahu
i,saya
, 
don,tidak
t, 
wkwkwkw,   
view,pelihat
nice,bagus
maknyus,mantap
anjir,kan
okk,ok
banget2,banget
syekali,sekali
kakak2,kakak
diulang2,diulang
dguhka,wah
garagara,karena
vio,
iki,rizky
starting,mulai
me,saya
happy,senang
we,kita
ve, 
daily,harian
rizki,rizky
ini,alamak
tibatiba,tiba
tapi,tetapi
philippines,filipina
wow,bagus
moga,semoga
kak,kakak
minum2,minum
kaku2nya,kaku
ulang2,ulang
haha, 
move,lihat
idol,idola
song,lagu
ladang,rizky
sholli,  
ala,rizky
kok, 
school,sekolah
moga,semoga
erti,adrian
clip,videoklip
ema2,waw
ge,saya
lagitks,lagi
music,musik
bombardment,meledak
jijik,tidak suka
9,sembilan
5,lima
hehehhe,ketawa
2,dua
19,sembilan belas
latnstjokwmwn,letnan
shdovsn,saina
parbuluan ,perbulan
alalak,alamak
hbia, 
lhmlasy , 
dynoatnkam,   
hmm,  
1,satu
2025,dua ribu dua lima
20,dua puluh
2005,dua ribu lima
uckszu2wh9gy1mb0dv11ujgksify6lzfolm6akanydqag,  
60,enam puluh
kau,kamu
bridge,jembatan
hi,hai
doang,hanya
yahhpas,sayang
sawalnya,awal
nyuapin,suap
reffoverall,selamanya
iky,rizky
tarik,adrian
ha,adrian
girl,wanita
hp,adrian
kayak,seperti
pak,bapak
ben,biarkan
muhammad,nabi
naganaganya,  
meni ,sangat
lhmlasy, 
irt,ibu rumah tangga
kenya,seperti
favourite,suka
santui,santai
kocakk,keren
familiar,akrab
cuma,hanya
tiap,setiap
meni,sangat
moga,semoga
baru baru,baru
hits,terkenal
ini,alamak
rileks,santai
 ini,alamak
lagu ini,lagu alamak
