Comment_stemmed,hf_label
tiba musik video ayo,Neutral
adrian khalif gaya kamu asik teman,Neutral
suara mirip,Positive
alamak lagu buat masuk lagu keren,Positive
sembilan nyawa mau sama alamak dada isi kamu alamak alamak jatuh cinta minimal kamu bilang bilang sayang baru baru baru segitu maaf terlalu hafal awal baru beli adrian makanya hafal,Positive
suara rizky romantis bayang mahalini nyanyi hari,Positive
kata kata lagu tau mau komen,Neutral
kakak anak lima tahun minta dengar lagu alamak terus tanya arti sembilan nyawa sekarang hafal alamak jatuh cinta sama teman main ketawa,Positive
kuat kuatin,Negative
waw suka lagu alamak serasa muda,Positive
indonesia musik ledak,Neutral
lucu,Positive
gila bapak surya lihat suka,Positive
rizky mulai gila,Positive
persis lagu justin bieber suka wanita sayang jembatan lama asik keren,Neutral
nama sama adrian,Negative
kaya kucing sembilan nyawa,Neutral
sumur rizky tumpang mandi,Positive
merdu,Neutral
masak mandi anak suap anak dengar nyanyi lagu alamak asa ibu rumah tangga untung ibu rumah tangga cantik,Positive
sembilan jawa,Neutral
terimakasih atas semua,Neutral
baru rame alamak,Negative
adrian hai kakak yuna,Negative
suka,Positive
bagus reff,Positive
keren alamak lagu santai bikin santai,Positive
kapan video klip satu ruang alamak minum,Negative
enak lagu,Positive
lagu bagus,Positive
suka sekali lagu masyaallah terus karya kakak my cinta lagu kakak,Neutral
tau lagu alamak video mahalini nyanyi,Positive
enak lagu baru enak nyanyi,Positive
cinta langsung suka lagu alamak ulang terus dengar kerja,Positive
siapa sini lihat videoklip,Positive
rizky luwes joget idola kpop kaku,Positive
lihat on lagu alamak bulan lewat,Negative
enak,Positive
gila keren teman,Positive
kilas mirip lagu bidadari biar,Positive
kaya alamak ledak dunia,Positive
isi hati wanita meni hidup keluarga baru lagu alamak wakil bibir ucap,Neutral
suka,Positive
lagu kait sama kondisi hutan indonesia alamak cepat pulih tanah ibu pertiwi,Positive
enak lagu alamak baru ketemu,Positive
sangat buah tarik lagu cinta filipina,Positive
keren teman,Positive
sembilan belas juta lapang kerja,Positive
satu nyawa bikin ulah sembilan,Negative
saina kosmetik letnan baru alamak,Positive
kira sumur rizky baru,Positive
padahal video telepon biasa tampan bikin biasa,Negative
sepatu baik teman,Positive
lembut bicara,Neutral
filipina sini,Positive
lebih akrab judul sembilan nyawa,Neutral
jelek,Positive
fadhil,Positive
moga alamak salah satu lagu ikan sama rizky nabi,Neutral
keren biaya videoklip ruang tunggu lagu kenal duluan,Positive
istimewa,Positive
mentang sembilan nyawa buah rizky satu nyawa kembang kempis,Positive
salah satu lagu enak ribu lima keren rizky adrian,Positive
bagus,Positive
tuhan cincin pakai,Positive
lagu rizky alamak paling buat candu bosan ulang,Positive
paling suka lirik sembilan naga,Positive
sama filipina suka nuansa lagu bahkan meski erti lirik,Positive
rizky sumpah keren dar manfaat alamak tenar ayah keren,Negative
tuhan gisell kakak hilang berapa makin tampak tulang jadwal padat banyak hilang,Positive
anugerah luar biasa buat rizky bukan besar bawah nama besar ayah beri anugerah mampu cipta lagu terus ingat karya karya cipta annya belantika musik indonesia,Negative
jadi lama puluh tahun buah gemar isi sangat takjub jalan lama baru mulai batas informasi alamak ribu lima lebih lebih cinta lama tampil pribadi baru senang sedih momen pernah lalu jadi semangat lama lama cinta super junior lama,Negative
lagu suara bagus,Positive
sini gara gara lucky adon sering nyanyi alamak a a a,Positive
candu lagu,Positive
filipina dengar this baru baru alamak baik selamat baru baru rizky adrian terima kasih lagu alamak,Positive
keren baru satu bulan juta lihat,Neutral
sembilan hati mau semua,Negative
enam puluh tahun nikmat lagu alamak high sekolah terima kasih kamu lama indah lagu,Neutral
keren,Negative
musik nyatu,Neutral
bagus suka alamak lagu,Positive
dengar suka milik mirip ritme lain lagu,Positive
